"year","consumption","clothing","income"
1923,1.99651,2.00432,1.98543
1924,1.99564,2.00043,1.99167
1925,2.00000,2.00000,2.00000
1926,2.04766,1.95713,2.02078
1927,2.08707,1.93702,2.02078
1928,2.07041,1.95279,2.03941
1929,2.08314,1.95713,2.04454
1930,2.13354,1.91803,2.05038
1931,2.18808,1.84572,2.03862
1932,2.18639,1.81558,2.02243
1933,2.20003,1.78746,2.00732
1934,2.14799,1.79588,1.97955
1935,2.13418,1.80346,1.98408
1936,2.22531,1.72099,1.98945
1937,2.18837,1.77597,2.01030
1938,2.17319,1.77452,2.00689
1939,2.21880,1.78746,2.01620
